# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.677549070062511,4.248468274371228,-179.46720554726556,0,1.0,-0.14439843440758526,0.0,0.0,0.0
 0.15009823263994895,14.666284817378923,4.248363524869806,-179.46720554726556,0.15009823263994898,1.0000000000000002,-0.14439843440758526,0.0,-1.5033759357903116,0.0
 0.21183811082324722,14.655112193920393,4.248277728234488,-179.56002379440497,0.21183811082324724,1.0,-0.14754989865753823,0.0,-1.9980532520291963,0.0
 0.25891978631531254,14.644030360601558,4.248210824481077,-179.65409548923287,0.2589197863153126,1.0000000000000007,-0.15075594873572934,0.0,-2.4166952824201857,0.0
 0.2983679448300238,14.633038478337054,4.248162753625375,-179.74942966781555,0.2983679448300239,1.0,-0.15401667645000444,0.0,-2.796749254708424,0.0
 0.3329099725488956,14.622135708041515,4.248133455683189,-179.84603505809443,0.33290997254889565,1.0,-0.15733211722905788,0.0,-3.1537248627834535,0.0
 0.36394787402426687,14.611321210629574,4.248122870670324,-179.94392005966594,0.3639478740242669,1.0,-0.160702246620699,0.0,-3.4958646453197533,0.0
 0.39231643899046553,14.600594147015872,4.248130938602581,179.9569072770303,0.3923164389904656,1.0,-0.1641269775172423,0.0,-3.828166288865396,0.0
 0.4185608592613406,14.58995367811504,4.248157599495766,179.85643927207852,0.41856085926134073,1.0000000000000022,-0.16760615576105153,0.0,-4.153924863462349,0.0
 0.443060732818263,14.579398964841715,4.248202793365683,179.7546686381587,0.44306073281826314,1.0,-0.17113955674574913,0.0,-4.475443566188134,0.0
 0.46609311685822025,14.56892916811053,4.248266460228137,179.65158850319312,0.46609311685822036,1.0,-0.17472688205711903,0.0,-4.794403062099179,0.0
 0.48786768781157897,14.558543448836124,4.24834854009893,179.54719243353844,0.4878676878115791,1.0,-0.17836775489145237,0.0,-5.112070573362838,0.0
 0.5085477574970091,14.548240967933127,4.248448972993869,179.44147445784446,0.5085477574970092,1.0,-0.18206171704447707,0.0,-5.42942614390846,0.0
 0.5282635365733992,14.53802088631618,4.248567698928757,179.3344290914796,0.5282635365733993,1.0,-0.18580822411410258,0.0,-5.747242836004853,0.0
 0.5471208796684368,14.527882364899916,4.248704657919398,179.22605136147055,0.547120879668437,1.000000000000006,-0.18960664214276526,0.0,-6.0661397653435225,0.0
 0.565207263040896,14.51782456459897,4.248859789981595,179.11633683208365,0.5652072630408962,1.0,-0.1934562432431108,0.0,-6.38661836806413,0.0
 0.5825959959868667,14.507846646327977,4.249033035131155,179.00528163085355,0.582595995986867,1.0,-0.1973562015431656,0.0,-6.709087877668456,0.0
 0.5993492652322507,14.49794777100157,4.24922433338388,178.892882475248,0.599349265232251,1.0,-0.2013055888168719,0.0,-7.033883656327279,0.0
 0.6155203850692007,14.488127099534388,4.249433624755574,178.77913669972236,0.6155203850692009,1.0,-0.20530337109326813,0.0,-7.3612806306171334,0.0
 0.6311554929053752,14.478383792841067,4.249660849262044,178.66404228325032,0.6311554929053754,1.0,-0.20934840337773447,0.0,-7.691503292979953,0.0
 0.6462948488084295,14.468717011836238,4.249905946919091,178.5475978774684,0.6462948488084297,1.0,-0.21343942651094341,0.0,-8.024733284727851,0.0
 0.6609738466466258,14.45912591743454,4.250168857742522,178.42980283492977,0.6609738466466261,1.0,-0.217575062431941,0.0,-8.36111515095007,0.0
 0.6752238114746423,14.449609670550606,4.250449521748138,178.31065723810573,0.6752238114746425,1.0,-0.22175381044544434,0.0,-8.700760821501696,0.0
 0.6890726359877054,14.440167432099072,4.250747878951746,178.19016192835863,0.6890726359877056,1.0,-0.22597404290774845,0.0,-9.043753048755631,0.0
 0.7025452940913498,14.430798362994574,4.2510638693691485,178.06831853555894,0.70254529409135,1.0,-0.23023400157723223,0.0,-9.390148128948633,0.0
 0.7156642594331235,14.421501624151746,4.251397433016151,177.94512950770115,0.7156642594331237,1.0,-0.23453179316922018,0.0,-9.739978009886947,0.0
 0.7284498495739363,14.412276376485226,4.251748509908556,177.82059814088623,0.7284498495739365,1.0,-0.23886538648630132,0.0,-10.093251960818222,0.0
 0.740920511357662,14.403121780909643,4.252117040062171,177.69472860938492,0.7409205113576622,1.0,-0.24323260787983902,0.0,-10.44995787370655,0.0
 0.7530930593278304,14.394036998339638,4.2525029634927956,177.56752599588097,0.7530930593278307,1.0,-0.24763113876436546,0.0,-10.810063298104513,0.0
 0.7649828763157396,14.385021189689846,4.2529062202162375,177.4389963216388,0.7649828763157398,1.0,-0.25205851116917627,0.0,-11.173516228517572,0.0
 0.7766040832982126,14.3760735158749,4.2533267502483,177.3091465768252,0.7766040832982128,1.0,-0.25651210560778304,0.0,-11.540245739537044,0.0
 0.7879696840995362,14.367193137809437,4.253764493604787,177.17798475060044,0.7879696840995364,1.0,-0.2609891478315989,0.0,-11.91016246351597,0.0
 0.7990916893539498,14.35837921640809,4.254219390301503,177.0455198611003,0.79909168935395,1.0,-0.2654867060520871,0.0,-12.283158950728202,0.0
 0.8099812232560547,14.349630912585496,4.254691380354251,176.9117619852814,0.8099812232560549,1.0,-0.27000168927313567,0.0,-12.659109964752053,0.0
 0.8206486159380084,14.340947387256293,4.255180403778837,176.77672228828334,0.8206486159380086,1.0,-0.2745308444499752,0.0,-13.03787267545785,0.0
