# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,14.76,2.83,-179.96705810944718,0,0.8,0.026369291539818398,180.0,0.0,0.0
 0.3321511751077237,14.715870246043615,2.82997462784,-179.96705810944718,0.265720940086179,0.8000000000000003,0.026369291539818398,180.0,0.48609980069094577,0.0
 0.468720805475309,14.672120395642452,2.82989878272,-179.90067163934503,0.37497664438024725,0.7999999999999999,0.026845341014664147,180.0,0.6436003486534224,0.0
 0.572826634471121,14.628748114534204,2.8297728716800004,-179.8336690915065,0.45826130757689687,0.7999999999999998,0.02733029840167824,180.0,0.7755778919137073,0.0
 0.6600180789047476,14.585751068456563,2.82959730176,-179.76604533483973,0.5280144631237981,0.7999999999999993,0.027824306281943625,180.0,0.8943260265655419,0.0
 0.7363326082870238,14.543126923147224,2.8293724800000004,-179.69779526500807,0.5890660866296191,0.8000000000000008,0.028327507627445823,180.0,1.0049640324016977,0.0
 0.8048738240276453,14.500873344343876,2.82909881344,-179.62891380845164,0.6438990592221162,0.799999999999999,0.02884004541581143,180.0,1.1102281829014864,0.0
 0.8674896744306339,14.458987997784213,2.8287767091200005,-179.5593959266379,0.6939917395445071,0.8000000000000007,0.029362062771366965,180.0,1.2117885871134333,4.908985705590672e-13
 0.9253869899555813,14.417468549205926,2.82840657408,-179.48923662046028,0.7403095919644651,0.8000000000000004,0.029893702585958255,180.00000000000003,1.3107551995134228,-5.261428247075507e-13
 0.9794059903024963,14.376312664346711,2.8279888153600004,-179.41843093488305,0.783524792241997,0.7999999999999984,0.030435107489939266,180.0,1.4079115169485348,0.0
 1.0301598695530727,14.335518008944259,2.82752384,-179.34697396375634,0.824127895642458,0.7999999999999983,0.030986419579518476,180.0,1.503836287004339,0.0
 1.0781126350923236,14.295082248736263,2.82701205504,-179.2748608548762,0.8624901080738586,0.7999999999999977,0.03154778015550184,180.0,1.5989725735334201,0.0
 1.1236256356499328,14.25500304946041,2.82645386752,-179.20208681524537,0.8989005085199461,0.8000000000000019,0.03211932966464715,180.0,1.6936695712235486,0.0
 1.1669869263741355,14.2152780768544,2.82584968448,-179.12864711657681,0.9335895410993081,0.7999999999999979,0.0327012073074398,180.0,1.7882092416421218,6.857907543785889e-13
 1.2084306309574053,14.175904996655921,2.82519991296,-179.05453710103313,0.966744504765924,0.7999999999999995,0.03329355092842888,180.00000000000003,1.8828239903393091,-7.155597783311032e-13
 1.2481501768165812,14.136881474602667,2.82450496,-178.9797521872041,0.9985201414532647,0.8,0.03389649662054297,180.0,1.9493769423034,0.0
 1.2868621925493653,14.098205176432334,2.82376523264,-178.9042878763445,1.0,0.038227369945038045,0.034510178560805446,180.0,1.9861568842040882,0.0
 1.3252016198525476,14.059873767882607,2.82298113792,-178.82813975886984,1.0,0.0,0.035134728666014164,180.0,2.0221192393533176,0.0
 1.36319949666098,14.021884914691183,2.8221530828800003,-178.75130352112095,1.0,0.0,0.03577027622919668,180.0,2.0587149141171546,-7.547178808367481e-13
 1.4008582167629777,13.984236282595752,2.82128147456,-178.6737749524004,1.0,0.0,0.036416947738397674,179.99999999999997,2.0959511771873856,7.615278398139932e-13
 1.438180173944932,13.94692553733401,2.8203667200000004,-178.59554995230997,1.0,0.0,0.037074866335068124,180.0,2.1338351090880145,0.0
 1.475167761981864,13.909950344643649,2.8194092262400003,-178.51662453835627,1.0,0.0,0.03774415159615915,180.0,2.172373580058647,0.0
 1.511823374627534,13.87330837026236,2.8184094003199998,-178.43699485388396,1.0,0.0,0.03842491900716872,180.0,2.21157322781946,0.0
 1.5481494056041132,13.836997279927834,2.81736764928,-178.3566571763032,1.0,0.0,0.03911727970643265,180.0,2.251440433715673,7.895173031099441e-13
 1.5841482485914038,13.801014739377766,2.8162843801600004,-178.27560792563463,1.0,0.0,0.03982133994339376,180.00000000000003,2.291981297168383,-7.967054631173792e-13
 1.6198222972155898,13.765358414349848,2.81516,-178.1938436733937,1.0,0.0,0.04053720062977933,180.0,2.3332016092481163,-8.039712766314322e-13
 1.6551739450374976,13.73002597058177,2.8139949158400004,-178.11136115180608,1.0,0.0,0.04126495680514577,179.99999999999997,2.3751068250845915,0.0
 1.690205585540363,13.695015073811229,2.8127895347200003,-178.0281572633538,1.0,0.0,0.04200469729198536,179.99999999999997,2.4177020337806945,1.6374769643960996e-12
 1.72491961211708,13.660323389775916,2.81154426368,-177.94422909069854,1.0,0.0,0.04275650405032566,180.00000000000003,2.4609919280433084,-8.262411631409939e-13
 1.7593184180569312,13.62594858421352,2.8102595097600003,-177.85957390694625,1.0,0.0,0.04352045146603833,180.0,2.5049807715829364,0.0
 1.7934043965317414,13.591888322861736,2.80893568,-177.77418918628626,1.0,0.0,0.044296606146355326,180.0,2.549672364646606,0.0
 1.8271799405815092,13.558140271458258,2.80757318144,-177.6880726150217,1.0,0.0,0.04508502586531177,180.0,2.5950700090230443,0.0
 1.8606474430994335,13.524702095740777,2.8061724211200003,-177.60122210296052,1.0,0.0,0.04588575930188246,180.0,2.641176469890373,0.0
 1.8938092968163507,13.491571461446986,2.8047338060800002,-177.51363579522544,1.0,0.0,0.04669884500800412,180.0,2.687993936918984,0.0
 1.9266678942845712,13.458746034314576,2.80325774336,-177.42531208445521,1.0,0.0,0.04752431092132754,180.0,2.7355239834009843,0.0
